geneid	ID	Kegg	Pubmed
1061116	lp_0001	{'lpl02020': 'Two-component system'}	[]
1061106	lp_0002	{'lpl00230': 'Purine metabolism', 'lpl00240': 'Pyrimidine metabolism', 'lpl01100': 'Metabolic pathways', 'lpl03030': 'DNA replication', 'lpl03430': 'Mismatch repair', 'lpl03440': 'Homologous recombination'}	[]
1061118	lp_0004	No pathway found	[]
1061119	lp_0005	{'lpl03440': 'Homologous recombination'}	['29857477', '29796924', '29760429', '29567144', '29525974', '29434398', '29302791', '29134338', '29116463', '29027372']
1061123	lp_0009	{'lpl03010': 'Ribosome'}	['16876801', '7957869']
1061124	lp_0010	{'lpl03030': 'DNA replication', 'lpl03430': 'Mismatch repair', 'lpl03440': 'Homologous recombination'}	['12517849', '11980934', '9916456', '9776836']
1061125	lp_0011	{'lpl03010': 'Ribosome'}	[]
1061126	lp_0012	No pathway found	['7639700']
1061127	lp_0013	{'lpl03010': 'Ribosome'}	[]
1061128	lp_0014	{'lpl03030': 'DNA replication'}	['29475157', '28203310', '27304232', '26656866', '25083554', '23832862', '18005835', '17851115', '16582987', '15827615']
1061283	lp_0015	No pathway found	['27510429', '24951963', '24236444', '23344501', '20159575', '20042076', '19703229', '19520725', '19180643', '19160808']
1061284	lp_0016	{'lpl00330': 'Arginine and proline metabolism', 'lpl00332': 'Carbapenem biosynthesis', 'lpl01100': 'Metabolic pathways', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01230': 'Biosynthesis of amino acids'}	['29789435', '29730305', '29242620', '28856445', '28716048', '28534065', '28158643', '27657141', '27510429', '27423825']
1061286	lp_0017	{'lpl00330': 'Arginine and proline metabolism', 'lpl00332': 'Carbapenem biosynthesis', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01230': 'Biosynthesis of amino acids'}	['1']
1061288	lp_0018	{'lpl02024': 'Quorum sensing'}	['11921100', '11676915', '11536333', '11223945', '11129042', '11113974', '11054821', '11041002', '10923028', '10899136']
1061259	lp_0022	{'lpl00500': 'Starch and sucrose metabolism', 'lpl00520': 'Amino sugar and nucleotide sugar metabolism', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites'}	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061254	lp_0026	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061253	lp_0027	{'lpl00500': 'Starch and sucrose metabolism'}	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061246	lp_0036	{'lpl02020': 'Two-component system'}	['28369529', '28129347', '27899666', '25921176', '24700861', '24434517', '23338683', '23048028', '21812966', '19693936']
1061245	lp_0037	{'lpl02020': 'Two-component system'}	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061242	lp_0038	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061240	lp_0039	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061239	lp_0041	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061238	lp_0043	{'lpl01503': 'Cationic antimicrobial peptide (CAMP) resistance', 'lpl02020': 'Two-component system'}	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061236	lp_0046	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061235	lp_0047	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061234	lp_0048	No pathway found	[]
1061233	lp_0050	No pathway found	[]
1061232	lp_0052	No pathway found	['29855844', '29804222', '29745868', '29665368', '29638210', '29620502', '29618236', '29616893', '29570444', '29557775']
1061229	lp_0053	No pathway found	[]
1061224	lp_0057	No pathway found	['9546162']
1061223	lp_0058	No pathway found	[]
1061222	lp_0059	No pathway found	[]
1061221	lp_0060	No pathway found	[]
1061220	lp_0061	No pathway found	[]
1061219	lp_0062	No pathway found	[]
1061282	lp_0063	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061279	lp_0066	{'lpl00500': 'Starch and sucrose metabolism'}	['29696407', '29669586', '29621707', '29489867', '29467316', '29416069', '29391350', '29339407', '29315404', '29165676']
1061277	lp_0068	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061274	lp_0070	{'lpl00350': 'Tyrosine metabolism', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01220': 'Degradation of aromatic compounds'}	['26751509', '26614669', '25914052', '24121231', '21862638', '19107399', '16756348', '16689798', '15706350', '12882519']
1061268	lp_0073	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061266	lp_0075	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061265	lp_0076	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061264	lp_0077	No pathway found	['29691195', '29689531', '29636821', '29622042', '29620641', '29615695', '29512269', '29428388', '29404209', '29360449']
1061263	lp_0078	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061262	lp_0080	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061261	lp_0081	No pathway found	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061260	lp_0082	{'lpl00010': 'Glycolysis / Gluconeogenesis', 'lpl00350': 'Tyrosine metabolism', 'lpl00625': 'Chloroalkane and chloroalkene degradation', 'lpl00626': 'Naphthalene degradation', 'lpl01100': 'Metabolic pathways', 'lpl01110': 'Biosynthesis of secondary metabolites', 'lpl01120': 'Microbial metabolism in diverse environments', 'lpl01130': 'Biosynthesis of antibiotics', 'lpl01220': 'Degradation of aromatic compounds'}	['29864683', '29864624', '29864400', '29862293', '29861493', '29861345', '29861343', '29860313', '29860131', '29859868']
1061113	lp_0083	No pathway found	[]
1061114	lp_0085	No pathway found	['29855844', '29804222', '29745868', '29665368', '29638210', '29620502', '29618236', '29616893', '29570444', '29557775']
1064136	lp_0088	{'lpl00330': 'Arginine and proline metabolism'}	[]
1061381	lp_0089	No pathway found	[]
1061380	lp_0091	No pathway found	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1061379	lp_0092	No pathway found	[]
1061377	lp_0096	No pathway found	[]
1061376	lp_0098	No pathway found	['29864723', '29807609', '29807587', '29799880', '29793435', '29789435', '29789384', '29775763', '29766532', '29764986']
1061375	lp_0099	No pathway found	[]
